Bell ID,Place,Dedication,Region,Tower ID,Grid Ref,Latitude,Longitude,Ring ID,Collection Type,Ring Size,Bell Role,Bell Name,Weight (lbs),Weight (approx),Nominal (Hz),Note,Diameter (in),Cast Date,Listed,Founder,Founder Uncertain,Caster,Canons,Turnings,Cracked,Frame ID,In Pit,Modification Date
7833,Aberavon,S Mary,"Neath Port Talbot, West Glamorgan, Wales",15542,SS762901,51.59631,-3.78749,5543,full-circle ring,8,1,,487,,1462.7,F♯,26.25,1893,,John Taylor & Co,,,flat,unturned,,20,Y,27/03/2024 20:17
7834,Aberavon,S Mary,"Neath Port Talbot, West Glamorgan, Wales",15542,SS762901,51.59631,-3.78749,5543,full-circle ring,8,2,,518,,1379.5,E♯,27,1893,,John Taylor & Co,,,flat,unturned,,20,Y,27/03/2024 20:17
7835,Aberavon,S Mary,"Neath Port Talbot, West Glamorgan, Wales",15542,SS762901,51.59631,-3.78749,5543,full-circle ring,8,3,,589,,1221.7,D♯,29,1893,,John Taylor & Co,,,flat,unturned,,20,Y,27/03/2024 20:17
7836,Aberavon,S Mary,"Neath Port Talbot, West Glamorgan, Wales",15542,SS762901,51.59631,-3.78749,5543,full-circle ring,8,4,,708,,1102.9,C♯,31,1893,,John Taylor & Co,,,flat,unturned,,20,Y,27/03/2024 20:17
7837,Aberavon,S Mary,"Neath Port Talbot, West Glamorgan, Wales",15542,SS762901,51.59631,-3.78749,5543,full-circle ring,8,5,,798,,981.9,B,33.5,1893,,John Taylor & Co,,,flat,unturned,,20,Y,27/03/2024 20:17
7838,Aberavon,S Mary,"Neath Port Talbot, West Glamorgan, Wales",15542,SS762901,51.59631,-3.78749,5543,full-circle ring,8,6,,986,,930.8,A♯,35.5,1893,,John Taylor & Co,,,flat,unturned,,20,Y,27/03/2024 20:17
7839,Aberavon,S Mary,"Neath Port Talbot, West Glamorgan, Wales",15542,SS762901,51.59631,-3.78749,5543,full-circle ring,8,7,,1305,,817.4,G♯,39.25,1893,,John Taylor & Co,,,flat,unturned,,20,Y,27/03/2024 20:17
17,Aberavon,S Mary,"Neath Port Talbot, West Glamorgan, Wales",15542,SS762901,51.59631,-3.78749,5543,full-circle ring,8,8,,1822,,725.3,F♯,44.38,1893,,John Taylor & Co,,,flat,unturned,,20,Y,27/03/2024 20:17
7840,Aberdare,S Elvan,"Rhondda Cynon Taff, Mid Glamorgan, Wales",11708,SO002025,51.71318,-3.44564,1709,full-circle ring,8,1,,581,,1286.5,E,29.25,1858,,Charles & George Mears,,,removed,,,22,Y,09/12/2020 11:20
7841,Aberdare,S Elvan,"Rhondda Cynon Taff, Mid Glamorgan, Wales",11708,SO002025,51.71318,-3.44564,1709,full-circle ring,8,2,,605,,1208.5,D♯,30,1858,,Charles & George Mears,,,removed,,,22,Y,09/12/2020 11:20
7842,Aberdare,S Elvan,"Rhondda Cynon Taff, Mid Glamorgan, Wales",11708,SO002025,51.71318,-3.44564,1709,full-circle ring,8,3,,688,,1071,C♯,32,1858,,Charles & George Mears,,,removed,,,22,Y,09/12/2020 11:20
7843,Aberdare,S Elvan,"Rhondda Cynon Taff, Mid Glamorgan, Wales",11708,SO002025,51.71318,-3.44564,1709,full-circle ring,8,4,,740,,966.5,B,34,1981,,Whitechapel Bell Foundry,,,flat,,,22,Y,09/12/2020 11:20
7844,Aberdare,S Elvan,"Rhondda Cynon Taff, Mid Glamorgan, Wales",11708,SO002025,51.71318,-3.44564,1709,full-circle ring,8,5,,915,,857.5,A,36.75,1858,,Charles & George Mears,,,removed,,,22,Y,09/12/2020 11:20
7845,Aberdare,S Elvan,"Rhondda Cynon Taff, Mid Glamorgan, Wales",11708,SO002025,51.71318,-3.44564,1709,full-circle ring,8,6,,1065,,803,G♯,38.75,1858,,Charles & George Mears,,,removed,,,22,Y,09/12/2020 11:20
7846,Aberdare,S Elvan,"Rhondda Cynon Taff, Mid Glamorgan, Wales",11708,SO002025,51.71318,-3.44564,1709,full-circle ring,8,7,,1228,,722.5,F♯,42,1858,,Charles & George Mears,,,removed,,,22,Y,09/12/2020 11:20
19,Aberdare,S Elvan,"Rhondda Cynon Taff, Mid Glamorgan, Wales",11708,SO002025,51.71318,-3.44564,1709,full-circle ring,8,8,,1817,,642.7,E,47.25,1858,,Charles & George Mears,,,removed,,,22,Y,09/12/2020 11:20
7847,Aberdeen,Cath Ch of S Machar (CS),"City of Aberdeen, Scotland",13827,NJ938087,57.16977,-2.10266,3828,full-circle ring,8,1,,483,,,F♯,27,1911,,Mears & Stainbank,,,removed,turned,,23,Y,09/12/2020 11:20
7848,Aberdeen,Cath Ch of S Machar (CS),"City of Aberdeen, Scotland",13827,NJ938087,57.16977,-2.10266,3828,full-circle ring,8,2,,504,,,E♯,27.5,1911,,Mears & Stainbank,,,removed,turned,,23,Y,09/12/2020 11:20
7849,Aberdeen,Cath Ch of S Machar (CS),"City of Aberdeen, Scotland",13827,NJ938087,57.16977,-2.10266,3828,full-circle ring,8,3,,539,,,D♯,29,1911,,Mears & Stainbank,,,removed,turned,,23,Y,09/12/2020 11:20
7850,Aberdeen,Cath Ch of S Machar (CS),"City of Aberdeen, Scotland",13827,NJ938087,57.16977,-2.10266,3828,full-circle ring,8,4,,631,,,C♯,30.75,1908,,Mears & Stainbank,,,removed,turned,,23,Y,09/12/2020 11:20
7851,Aberdeen,Cath Ch of S Machar (CS),"City of Aberdeen, Scotland",13827,NJ938087,57.16977,-2.10266,3828,full-circle ring,8,5,,757,,,B,34,1906,,Mears & Stainbank,,,removed,turned,,23,Y,14/06/2023 19:42
7852,Aberdeen,Cath Ch of S Machar (CS),"City of Aberdeen, Scotland",13827,NJ938087,57.16977,-2.10266,3828,full-circle ring,8,6,,846,,,A♯,35.5,1906,,Mears & Stainbank,,,removed,turned,,23,Y,09/12/2020 11:20
7853,Aberdeen,Cath Ch of S Machar (CS),"City of Aberdeen, Scotland",13827,NJ938087,57.16977,-2.10266,3828,full-circle ring,8,7,,1111,,,G♯,39.25,1906,,Mears & Stainbank,,,removed,turned,,23,Y,09/12/2020 11:20
20,Aberdeen,Cath Ch of S Machar (CS),"City of Aberdeen, Scotland",13827,NJ938087,57.16977,-2.10266,3828,full-circle ring,8,8,,1574,,723.5,F♯,43.5,1908,,Mears & Stainbank,,,removed,turned,,23,Y,09/12/2020 11:20
7862,Aberdeen,Cath Ch of S Mary of the Assumption (RC),"City of Aberdeen, Scotland",12389,NJ936060,57.1454,-2.10681,2390,full-circle ring,8,c3,,276,,1522,G,22.5,1998,,Eijsbouts,,,flat,,,,,16/12/2024 15:07
7863,Aberdeen,Cath Ch of S Mary of the Assumption (RC),"City of Aberdeen, Scotland",12389,NJ936060,57.1454,-2.10681,2390,full-circle ring,8,c8,,991,,1025,C,34.5,1877,,John Taylor & Co,,,conventional,,,,,16/12/2024 15:07
7855,Aberdeen,Cath Ch of S Mary of the Assumption (RC),"City of Aberdeen, Scotland",12389,NJ936060,57.1454,-2.10681,2390,full-circle ring,8,1c1,,536,,1707,A,25.5,1998,,Eijsbouts,,,flat,,,,Y,03/01/2021 21:11
7856,Aberdeen,Cath Ch of S Mary of the Assumption (RC),"City of Aberdeen, Scotland",12389,NJ936060,57.1454,-2.10681,2390,full-circle ring,8,2c2,,567,,1612,G♯,26.5,1998,,Eijsbouts,,,flat,,,,Y,03/01/2021 21:12
7857,Aberdeen,Cath Ch of S Mary of the Assumption (RC),"City of Aberdeen, Scotland",12389,NJ936060,57.1454,-2.10681,2390,full-circle ring,8,3c4,,650,,1436,F♯,28.5,1998,,Eijsbouts,,,flat,,,,Y,03/01/2021 21:13
7858,Aberdeen,Cath Ch of S Mary of the Assumption (RC),"City of Aberdeen, Scotland",12389,NJ936060,57.1454,-2.10681,2390,full-circle ring,8,4c5,,714,,1285,E,30,1998,,Eijsbouts,,,flat,,,,Y,03/01/2021 21:13
7859,Aberdeen,Cath Ch of S Mary of the Assumption (RC),"City of Aberdeen, Scotland",12389,NJ936060,57.1454,-2.10681,2390,full-circle ring,8,5c6,,924,Y,1155,D,32.5,1877,,John Taylor & Co,,,removed,,,,Y,03/01/2021 21:13
7860,Aberdeen,Cath Ch of S Mary of the Assumption (RC),"City of Aberdeen, Scotland",12389,NJ936060,57.1454,-2.10681,2390,full-circle ring,8,6c7,,952,Y,1075,C♯,33.88,1877,,John Taylor & Co,,,removed,,,,Y,03/01/2021 21:13
7861,Aberdeen,Cath Ch of S Mary of the Assumption (RC),"City of Aberdeen, Scotland",12389,NJ936060,57.1454,-2.10681,2390,full-circle ring,8,7c9,,1064,Y,965,B,35.63,1877,,John Taylor & Co,,,removed,,,,Y,03/01/2021 21:14
7864,Aberdeen,Cath Ch of S Mary of the Assumption (RC),"City of Aberdeen, Scotland",12389,NJ936060,57.1454,-2.10681,2390,full-circle ring,8,c11,,1638,,755,G,42.38,1877,,John Taylor & Co,,,conventional,,,,,16/12/2024 15:07
7865,Aberdeen,Cath Ch of S Mary of the Assumption (RC),"City of Aberdeen, Scotland",12389,NJ936060,57.1454,-2.10681,2390,full-circle ring,8,c12,,1758,,710,F♯,44.25,1877,,John Taylor & Co,,,conventional,,,,,16/12/2024 15:07
7866,Aberdeen,Cath Ch of S Mary of the Assumption (RC),"City of Aberdeen, Scotland",12389,NJ936060,57.1454,-2.10681,2390,full-circle ring,8,c13,,2527,,640,E,49.63,1877,,John Taylor & Co,,,conventional,,,,,16/12/2024 15:07
7867,Aberdeen,Cath Ch of S Mary of the Assumption (RC),"City of Aberdeen, Scotland",12389,NJ936060,57.1454,-2.10681,2390,full-circle ring,8,c14,,3556,,572.5,D,56.63,1877,,John Taylor & Co,,,conventional,,,,,16/12/2024 15:07
21,Aberdeen,Cath Ch of S Mary of the Assumption (RC),"City of Aberdeen, Scotland",12389,NJ936060,57.1454,-2.10681,2390,full-circle ring,8,8c10,,1204,Y,850,A,38.63,1877,,John Taylor & Co,,,removed,,,,Y,03/01/2021 21:14
